Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
WMT,Walmart,['Industrials'],1,1,1.0,"0,0139"
WRB,"W, R, Berkley Corporation",['Finance'],3,-3,-1.0,"0,0005"
WSM,Williams-Sonoma,['Industrials'],1,1,1.0,"0,0004"
WST,West Pharmaceutical Services,['Healthcare'],2,0,0.0,"0,0003"
WTW,Willis Towers Watson,['Finance'],3,-3,-1.0,"0,0006"
WY,Weyerhaeuser,['Industrials'],1,1,1.0,"0,0003"
WYNN,Wynn Resorts,['Industrials'],1,1,1.0,"0,0002"
XEL,Xcel Energy,['Public Services'],4,-2,-0.5,"0,0007"
XOM,ExxonMobil,['Energy'],1,1,1.0,"0,0079"
XYL,"Xylem Inc,",['Industrials'],1,1,1.0,"0,0006"
XYZ,"Block, Inc,","['Technology', 'Finance']",10,-6,-0.6,"0,0008"
YUM,Yum! Brands,['Industrials'],1,1,1.0,"0,0007"
ZBH,Zimmer Biomet,"['Industrials', 'Healthcare']",3,1,0.333,"0,0003"
ZBRA,Zebra Technologies,"['Technology', 'Industrials']",9,-3,-0.333,"0,0003"
ZTS,Zoetis,['Industrials'],1,1,1.0,"0,0012"
