Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
LVS,Las Vegas Sands,['Industrials'],1,1,1.0,"0,0006"
LW,Lamb Weston,['Industrials'],1,1,1.0,"0,0001"
LYB,LyondellBasell,['Industrials'],1,1,1.0,"0,0003"
LYV,Live Nation Entertainment,"['Entertainment', 'Public Services']",4,-2,-0.5,"0,0006"
MA,Mastercard,['Finance'],3,-3,-1.0,"0,0091"
MAA,Mid-America Apartment Communities,['Finance'],3,-3,-1.0,"0,0003"
MAR,Marriott International,['Industrials'],1,1,1.0,"0,0012"
MAS,Masco,['Industrials'],1,1,1.0,"0,0003"
MCD,McDonald's,['Industrials'],1,1,1.0,"0,0038"
MCHP,Microchip Technology,['Technology'],8,-4,-0.5,"0,0006"
MCK,McKesson Corporation,['Healthcare'],2,0,0.0,"0,0014"
MCO,Moody's Corporation,['Finance'],3,-3,-1.0,"0,0016"
MDLZ,Mondelez International,['Industrials'],1,1,1.0,"0,0014"
